"rNames.tag","x.0.m.theta","x.0.s.area","x.0.s.perimeter","x.0.s.radius.sd","x.0.s.radius.min","x.a.b.mad","x.a.b.q001","x.a.m.eccentricity","x.a.m.theta","x.Ba.b.mad","x.Ba.b.q001","x.Ba.b.q005","x.Ba.b.q05","x.Ba.b.q099","x.Ba.m.cx","x.Ba.m.cy","x.Ba.m.theta","x.Ba.h.asm.s1","x.Ba.h.cor.s1","x.Ba.h.sen.s1","x.Ba.h.f13.s1","x.Ba.h.asm.s2","x.Ba.h.cor.s2","x.Ba.h.idm.s2","x.Ba.h.f12.s2","h.asm.s1","h.f13.s1","h.var.s2","h.sen.s2","h.dva.s2"
"bspp",-1.18444311389793,18614,510,2.48007620343106,71.3528766521431,0.0406988235294118,0.32156862745098,0.352183279553326,-1.09901204942882,0.0699208078795131,-0.109590866373379,0.019124927937087,0.208246592427349,0.458025868552492,195.244547301199,189.285120688253,-1.08727945596486,0.0296216141188682,0.760463001967997,1.29701295315805,0.612726558634059,0.0200951402520056,0.361641293949849,0.431240985666783,0.0762221318765822,0.100575672651306,0.652528348926016,3.01356839394979,1.00403031509032,1.06903754191172
"snep",-0.212293269157135,75772,1043,7.4052201261514,136.604191244942,0.0697694117647058,0.313725490196078,0.192950016399302,-0.011630283589555,0.141933181332106,-0.562810222721401,-0.183396269396491,0.29094981506323,0.907134936281815,196.650276319391,182.883575781776,0.253841832526013,0.0178501764904677,0.771693747060241,1.54971587178239,0.652098476162476,0.0101264287831136,0.36160027697371,0.329999324953506,0.0823347674820067,0.0495273207104986,0.683753299282877,6.88390910529664,1.20886901893135,3.85976382680632
"bspp",-1.33695228252322,47212,825,3.44701822546211,114.544493168965,0.0523270588235294,0.274509803921569,0.357558594137509,-1.3142140575897,0.0582239985788617,-0.0656784756865403,0.0311416741126723,0.176559026540277,0.488999097626349,155.725697629501,146.769481115762,-1.29850533082682,0.0407925326646381,0.824068526185572,1.23416208955957,0.639186699428467,0.0278851609033017,0.515263947524247,0.482093251415401,0.104479627396183,0.0860243395038064,0.738559578216948,4.0353084068301,1.0857504499627,0.863608050346887
"iacu",-1.05867565082126,24835,1329,16.4095230457536,65.8465501222982,0.0523270588235294,0.32156862745098,0.393313438704583,-1.08252440615268,0.116277721064015,-0.557747808678799,-0.200500135538887,0.289825914310871,1.00115664994174,141.464927698882,122.528837485505,-1.04259479942178,0.0197403230251232,0.770553510684836,1.52680006434862,0.669501574159742,0.0119396988969388,0.366181109405254,0.35906705189005,0.105800506184675,0.0587262874276173,0.684252926314437,7.3558317271485,1.2159363353879,4.6371640407785
"bspp",0.231119107739236,26187,562,3.87020813989273,81.8908386375901,0.0406988235294118,0.23921568627451,0.441315437410183,0.244407293352774,0.0730145217531457,-0.217016243634768,-0.0816340027441882,0.164478658172329,0.441097556158403,133.015816247957,126.106491331225,0.212215067265345,0.037608672371261,0.827236315259945,1.26465679829321,0.659106835385079,0.0250190507402987,0.542531728582357,0.472518411224364,0.120450894330203,0.0950286914181731,0.679377514842231,3.57426751852198,1.05228221090133,1.24094280278026
"iacu",-0.510360089199671,45403,1781,18.6261004416315,79.5653368985048,0.0465129411764706,0.341176470588235,0.514393444494149,-0.505264469063426,0.1386971937906,-0.604097130340592,-0.143309999653666,0.290501858396069,1.01468981495426,165.223591162379,187.908118521349,-0.490006475317383,0.0135190703706837,0.759130211177338,1.5708503762861,0.639868138112886,0.00762571229880995,0.333072251590598,0.299512756108821,0.0722898671433196,0.0574422168010846,0.607426689796802,5.62599026990529,1.14036543927357,4.59505089983639
"bspp",0.231119107739243,26187,562,3.87020813989273,81.8908386375901,0.0406988235294118,0.23921568627451,0.441315437410182,0.244407293352766,0.0730145217531445,-0.217016243634768,-0.0816340027441872,0.164478658172329,0.441097556158402,155.015816247957,150.106491331225,0.212215067265344,0.037608672371261,0.827236315259945,1.26465679829321,0.659106835385079,0.0250190507402987,0.542531728582357,0.472518411224364,0.120450894330203,0.0950286914181731,0.679377514842231,3.57426751852198,1.05228221090133,1.24094280278026
"iacu",0.344200818424874,36305,1384,17.9864544797188,70.052943495106,0.0406988235294118,0.392156862745098,0.648618135935527,0.345634342765193,0.157307736869591,-0.567680564607258,-0.121533071785123,0.302441323757241,0.975960784960403,176.698811281037,154.862112981875,0.348971124450464,0.0114937785413548,0.772657203120246,1.60097268779295,0.639869990567143,0.00623342675393308,0.345734470294761,0.281222280478727,0.0656825642884805,0.0629124113047025,0.575871593729724,4.57376820782058,1.07688754125703,4.06338008216461
"bspp",0.798895884111987,49079,1081,28.3328079233126,59.506804825858,0.0348847058823529,0.247058823529412,0.650021867829074,0.774106727711715,0.0516446885400959,-0.184482006549414,-0.0319123209665845,0.173045814451583,0.448130937420761,185.759914374968,156.790974049037,0.779880550871712,0.0506899203505061,0.775505885492152,1.2111148905212,0.627989363156172,0.0357387343867824,0.408705715621812,0.500596942175937,0.104094162709188,0.120916210082276,0.688714207856527,3.14040229916644,0.993020949784053,0.919897980342554
"iacu",0.344200818424872,36305,1384,17.9864544797188,70.052943495106,0.0406988235294118,0.392156862745098,0.648618135935526,0.345634342765192,0.157307736869587,-0.567680564607258,-0.121533071785123,0.302441323757244,0.975960784960406,182.698811281037,154.862112981875,0.348971124450462,0.0114937785413548,0.772657203120246,1.60097268779295,0.639869990567143,0.00623342675393308,0.345734470294761,0.281222280478727,0.0656825642884805,0.0629124113047025,0.575871593729724,4.57376820782058,1.07688754125703,4.06338008216461
