"rNames.tag","x.0.m.cx","x.0.m.cy","x.0.m.majoraxis","x.0.m.eccentricity","x.0.m.theta","x.0.s.area","x.0.s.perimeter","x.0.s.radius.mean","x.0.s.radius.sd","x.0.s.radius.min","x.0.s.radius.max","x.a.b.mean","x.a.b.sd","x.a.b.mad","x.a.b.q001","x.a.b.q005","x.a.b.q05","x.a.b.q095","x.a.b.q099","x.a.m.cx","x.a.m.cy","x.a.m.majoraxis","x.a.m.eccentricity","x.a.m.theta","x.a.h.asm.s1","x.a.h.con.s1","x.a.h.cor.s1","x.a.h.var.s1","x.a.h.idm.s1","x.a.h.sav.s1","x.a.h.sva.s1","x.a.h.sen.s1","x.a.h.ent.s1","x.a.h.dva.s1","x.a.h.den.s1","x.a.h.f12.s1","x.a.h.f13.s1","x.a.h.asm.s2","x.a.h.con.s2","x.a.h.cor.s2","x.a.h.var.s2","x.a.h.idm.s2","x.a.h.sav.s2","x.a.h.sva.s2","x.a.h.sen.s2","x.a.h.ent.s2","x.a.h.dva.s2","x.a.h.den.s2","x.a.h.f12.s2","x.a.h.f13.s2","x.Ba.b.mean","x.Ba.b.sd","x.Ba.b.mad","x.Ba.b.q001","x.Ba.b.q005","x.Ba.b.q05","x.Ba.b.q095","x.Ba.b.q099","x.Ba.m.cx","x.Ba.m.cy","x.Ba.m.majoraxis","x.Ba.m.eccentricity","x.Ba.m.theta","x.Ba.h.asm.s1","x.Ba.h.con.s1","x.Ba.h.cor.s1","x.Ba.h.var.s1","x.Ba.h.idm.s1","x.Ba.h.sav.s1","x.Ba.h.sva.s1","x.Ba.h.sen.s1","x.Ba.h.ent.s1","x.Ba.h.dva.s1","x.Ba.h.den.s1","x.Ba.h.f12.s1","x.Ba.h.f13.s1","x.Ba.h.asm.s2","x.Ba.h.con.s2","x.Ba.h.cor.s2","x.Ba.h.var.s2","x.Ba.h.idm.s2","x.Ba.h.sav.s2","x.Ba.h.sva.s2","x.Ba.h.sen.s2","x.Ba.h.ent.s2","x.Ba.h.dva.s2","x.Ba.h.den.s2","x.Ba.h.f12.s2","x.Ba.h.f13.s2","h.asm.s1","h.con.s1","h.cor.s1","h.var.s1","h.idm.s1","h.sav.s1","h.sva.s1","h.sen.s1","h.ent.s1","h.dva.s1","h.den.s1","h.f12.s1","h.f13.s1","h.asm.s2","h.con.s2","h.cor.s2","h.var.s2","h.idm.s2","h.sav.s2","h.sva.s2","h.sen.s2","h.ent.s2","h.dva.s2","h.den.s2","h.f12.s2","h.f13.s2"
"bspp",196.141452670033,188.964703986247,158.997468326852,0.344180161564106,-1.18444311389793,18614,510,76.5325417125253,2.48007620343106,71.3528766521431,83.0270075754155,0.427354489663062,0.0467982578543253,0.0406988235294118,0.32156862745098,0.356862745098039,0.419607843137255,0.52156862745098,0.545098039215686,195.360482393609,189.208438092196,158.09986711084,0.352183279553326,-1.09901204942882,0.100575672651306,0.673294913964172,0.838826190448868,3.08872308670743,0.777648850036714,27.4310626036372,705.466359178376,1.01544673450568,1.23573593480633,0.673294913964172,0.385066123600151,0.366634525945043,0.652528348926016,0.0863227079947602,1.06903754191172,0.73454153702357,3.01356839394979,0.720746542845088,27.4215907217061,704.872733871084,1.00403031509032,1.30443093008985,1.06903754191172,0.453697742058178,0.258642317792611,0.56678292041437,0.199088829068487,0.0997157048869399,0.0699208078795131,-0.109590866373379,0.019124927937087,0.208246592427349,0.344528469351249,0.458025868552492,195.244547301199,189.285120688253,153.519085549826,0.362114810475001,-1.08727945596486,0.0296216141188682,3.7540435479925,0.760463001967997,8.83604115196217,0.574856790453098,13.5127354772066,176.813997844404,1.29701295315805,1.80590782850209,3.7540435479925,0.643649258418828,0.230570552592893,0.612726558634059,0.0200951402520056,9.99565767053262,0.361641293949849,8.82918567241043,0.431240985666783,13.520639806519,171.818894951763,1.25288492093974,1.96274728314078,9.99565767053262,0.824043121835666,0.0762221318765822,0.379526712879556,0.100575672651306,0.673294913964172,0.838826190448868,3.08872308670743,0.777648850036714,27.4310626036372,705.466359178376,1.01544673450568,1.23573593480633,0.673294913964172,0.385066123600151,0.366634525945043,0.652528348926016,0.0863227079947602,1.06903754191172,0.73454153702357,3.01356839394979,0.720746542845088,27.4215907217061,704.872733871084,1.00403031509032,1.30443093008985,1.06903754191172,0.453697742058178,0.258642317792611,0.56678292041437
"snep",194.714485561949,181.612218233648,317.133883111454,0.254207088437191,-0.212293269157135,75772,1043,154.963609769964,7.4052201261514,136.604191244942,169.518169420482,0.554020782678272,0.0789532203744786,0.0697694117647058,0.313725490196078,0.396078431372549,0.572549019607843,0.647058823529412,0.686274509803922,195.917466065411,182.743692310452,313.147202200695,0.192950016399302,-0.011630283589555,0.0495273207104986,1.8111987203738,0.849876602026768,7.03236652256076,0.682477857020935,35.3360843969231,1185.44191906872,1.23148570849326,1.60405558764128,1.8111987203738,0.523566999809964,0.3283088790036,0.683753299282877,0.0398463197516149,3.85976382680632,0.672006844622108,6.88390910529664,0.594745349270459,35.4151177530189,1189.74332505265,1.20886901893135,1.72159497420612,3.85976382680632,0.648083117653174,0.195354080621493,0.557818930302921,0.266045832854253,0.25230572568211,0.141933181332106,-0.562810222721401,-0.183396269396491,0.29094981506323,0.653256085516457,0.907134936281815,196.650276319391,182.883575781776,306.722159343231,0.200061708079534,0.253841832526013,0.0178501764904677,15.9734384644486,0.771693747060241,35.9824813354179,0.465724437646617,19.226403573396,436.421774977601,1.54971587178239,2.25433944206184,15.9096562663853,0.881866572171792,0.218782415018344,0.652098476162476,0.0101264287831136,44.301767963173,0.36160027697371,35.6975150248839,0.329999324953506,19.2899326172527,410.04477028826,1.52602318965487,2.4270384425672,42.5450530388952,1.09358621940321,0.0823347674820067,0.433734182782277,0.0495273207104986,1.8111987203738,0.849876602026768,7.03236652256076,0.682477857020935,35.3360843969231,1185.44191906872,1.23148570849326,1.60405558764128,1.8111987203738,0.523566999809964,0.3283088790036,0.683753299282877,0.0398463197516149,3.85976382680632,0.672006844622108,6.88390910529664,0.594745349270459,35.4151177530189,1189.74332505265,1.20886901893135,1.72159497420612,3.85976382680632,0.648083117653174,0.195354080621493,0.557818930302921
"bspp",155.614589511141,145.799415402864,252.615977798399,0.334198944832769,-1.33695228252322,47212,825,122.110638599219,3.44701822546211,114.544493168965,128.44738932507,0.369296772339369,0.0559371924616101,0.0523270588235294,0.274509803921569,0.294117647058824,0.36078431372549,0.474509803921569,0.513725490196078,155.148239333187,146.292857422403,247.283268965059,0.357558594137509,-1.3142140575897,0.0860243395038064,0.536887651119861,0.912910972769612,4.08240698164853,0.807698091082266,23.8330132206537,529.206517072042,1.0862820973347,1.26549928967776,0.536887651119861,0.349231493117544,0.475055667312348,0.738559578216948,0.0753136857245044,0.863608050346887,0.857739653670218,4.0353084068301,0.761641549827492,23.839014541315,528.988652387793,1.0857504499627,1.33324076761702,0.863608050346887,0.414097240272889,0.384771339455887,0.685687978598586,0.174536388736822,0.0890591308815395,0.0582239985788617,-0.0656784756865403,0.0311416741126723,0.176559026540277,0.293190840254023,0.488999097626349,155.725697629501,146.769481115762,241.810872340109,0.388617509894699,-1.29850533082682,0.0407925326646381,2.38295079868114,0.824068526185572,7.77238343718593,0.627350177199993,11.9328830414973,139.169212957493,1.23416208955957,1.6498768871385,2.38295079868114,0.559632965232703,0.274271382044873,0.639186699428467,0.0278851609033017,6.58886955774642,0.515263947524247,7.79634774852639,0.482093251415401,11.9316107137487,135.691575430315,1.20337441909361,1.81588209603615,6.58886955774642,0.731900734690218,0.104479627396183,0.426139621189276,0.0860243395038064,0.536887651119861,0.912910972769612,4.08240698164853,0.807698091082266,23.8330132206537,529.206517072042,1.0862820973347,1.26549928967776,0.536887651119861,0.349231493117544,0.475055667312348,0.738559578216948,0.0753136857245044,0.863608050346887,0.857739653670218,4.0353084068301,0.761641549827492,23.839014541315,528.988652387793,1.0857504499627,1.33324076761702,0.863608050346887,0.414097240272889,0.384771339455887,0.685687978598586
"iacu",141.778135695591,123.024843970203,196.764954350177,0.394981767960128,-1.05867565082126,24835,1329,95.0962406253382,16.4095230457536,65.8465501222982,135.615260157322,0.580894136595649,0.0806486945074144,0.0523270588235294,0.32156862745098,0.415686274509804,0.6,0.690196078431373,0.749019607843137,141.386202249182,122.959753003662,194.318410350925,0.393313438704583,-1.08252440615268,0.0587262874276173,2.17831379853257,0.831098368790743,7.44846880085418,0.681608969563199,37.0040441668296,1303.01034990234,1.23541561473865,1.6105180765583,2.17831379853257,0.537014157800975,0.327811450921294,0.684252926314437,0.0486027152113098,4.6371640407785,0.635203995334661,7.3558317271485,0.597989847440809,37.0445277613952,1304.47412643958,1.2159363353879,1.72383638646018,4.6371640407785,0.659091683017951,0.206097316673688,0.571889182515919,0.269033803672014,0.258518588702437,0.116277721064015,-0.557747808678799,-0.200500135538887,0.289825914310871,0.695265869549503,1.00115664994174,141.464927698882,122.528837485505,189.06041644002,0.44508052331389,-1.04259479942178,0.0197403230251232,16.8945841094086,0.770553510684836,37.8159568704559,0.496750551999183,19.3742655155026,448.901266402551,1.52680006434862,2.18634933059037,16.8253599102668,0.852492906135134,0.2394157940005,0.669501574159742,0.0119396988969388,46.8679332715477,0.366181109405254,37.9726541501223,0.35906705189005,19.5013480495408,424.808879844405,1.50728801531109,2.35481950805846,43.143440896453,1.05547446909333,0.105800506184675,0.480938478965514,0.0587262874276173,2.17831379853257,0.831098368790743,7.44846880085418,0.681608969563199,37.0040441668296,1303.01034990234,1.23541561473865,1.6105180765583,2.17831379853257,0.537014157800975,0.327811450921294,0.684252926314437,0.0486027152113098,4.6371640407785,0.635203995334661,7.3558317271485,0.597989847440809,37.0445277613952,1304.47412643958,1.2159363353879,1.72383638646018,4.6371640407785,0.659091683017951,0.206097316673688,0.571889182515919
"bspp",134.021422843396,126.995341199832,191.338617425735,0.407574421973338,0.231119107739236,26187,562,90.8828247629761,3.87020813989273,81.8908386375901,98.1679647869867,0.344686818860129,0.0517578381683433,0.0406988235294118,0.23921568627451,0.262745098039216,0.341176470588235,0.454901960784314,0.486274509803922,133.018783860695,126.654375659836,188.923518896592,0.441315437410183,0.244407293352774,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242,0.14747595090217,0.118490899427613,0.0730145217531457,-0.217016243634768,-0.0816340027441882,0.164478658172329,0.302805476845964,0.441097556158403,133.015816247957,126.106491331225,173.892039068495,0.467736414752539,0.212215067265345,0.037608672371261,2.91889001300766,0.827236315259945,9.44763764271282,0.618380222280899,10.8821795057089,123.3684035855,1.26465679829321,1.69953116607003,2.91889001300766,0.592506116132318,0.286629636993044,0.659106835385079,0.0250190507402987,7.64967188288743,0.542531728582357,9.36087698408225,0.472518411224364,10.9310759911467,119.626111771845,1.24436985756318,1.86266308257493,7.64967188288743,0.769865616938589,0.120450894330203,0.461107897369734,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242
"iacu",165.317864458296,187.828557584301,270.849892730441,0.506909647475255,-0.510360089199671,45403,1781,121.1858445805,18.6261004416315,79.5653368985048,157.510667161937,0.573936765861114,0.0688151419274309,0.0465129411764706,0.341176470588235,0.443137254901961,0.584313725490196,0.670588235294118,0.717647058823529,165.24912726367,187.95559349607,271.244321219571,0.514393444494149,-0.505264469063426,0.0574422168010846,2.13265431753316,0.770880930261229,5.65403058759942,0.65714737091047,36.5317029492417,1266.99052300269,1.16919377681688,1.57115718096925,2.13265431753316,0.545089048721748,0.255433282616463,0.607426689796802,0.0450953163797358,4.59505089983639,0.503344080755113,5.62599026990529,0.563404656925303,36.5417424104708,1267.1664016366,1.14036543927357,1.68969592459456,4.59505089983639,0.672133222404838,0.124707160125133,0.448648838948451,0.283576184150771,0.259559143337116,0.1386971937906,-0.604097130340592,-0.143309999653666,0.290501858396069,0.696479372851636,1.01468981495426,165.223591162379,187.908118521349,270.570404662367,0.51927283920112,-0.490006475317383,0.0135190703706837,18.2246124573283,0.759130211177338,38.8308391152076,0.438522641175978,19.930729195814,470.18389427125,1.5708503762861,2.30918930412282,18.0094912977783,0.900803734283305,0.204728592053629,0.639868138112886,0.00762571229880995,50.7857207780404,0.333072251590598,39.0743797953842,0.299512756108821,19.9215597164152,439.274199797132,1.54324637177893,2.4811334961654,46.2654744591892,1.11034015419724,0.0722898671433196,0.412066209232289,0.0574422168010846,2.13265431753316,0.770880930261229,5.65403058759942,0.65714737091047,36.5317029492417,1266.99052300269,1.16919377681688,1.57115718096925,2.13265431753316,0.545089048721748,0.255433282616463,0.607426689796802,0.0450953163797358,4.59505089983639,0.503344080755113,5.62599026990529,0.563404656925303,36.5417424104708,1267.1664016366,1.14036543927357,1.68969592459456,4.59505089983639,0.672133222404838,0.124707160125133,0.448648838948451
"bspp",156.021422843396,150.995341199832,191.338617425735,0.407574421973341,0.231119107739243,26187,562,90.8828247629761,3.87020813989273,81.8908386375901,98.1679647869867,0.344686818860129,0.0517578381683433,0.0406988235294118,0.23921568627451,0.262745098039216,0.341176470588235,0.454901960784314,0.486274509803922,155.018783860695,150.654375659836,188.923518896592,0.441315437410182,0.244407293352766,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242,0.147475950902171,0.118490899427613,0.0730145217531445,-0.217016243634768,-0.0816340027441872,0.164478658172329,0.302805476845964,0.441097556158402,155.015816247957,150.106491331225,173.892039068495,0.46773641475254,0.212215067265344,0.037608672371261,2.91889001300766,0.827236315259945,9.44763764271282,0.618380222280899,10.8821795057089,123.3684035855,1.26465679829321,1.69953116607003,2.91889001300766,0.592506116132318,0.286629636993044,0.659106835385079,0.0250190507402987,7.64967188288743,0.542531728582357,9.36087698408225,0.472518411224364,10.9310759911467,119.626111771845,1.24436985756318,1.86266308257493,7.64967188288743,0.769865616938589,0.120450894330203,0.461107897369734,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242
"iacu",177.083872744801,155.507037598127,252.897881534554,0.649311717933407,0.344200818424874,36305,1384,108.858410275807,17.9864544797188,70.052943495106,158.134121686186,0.603765267572392,0.0600997756819881,0.0406988235294118,0.392156862745098,0.501960784313725,0.607843137254902,0.686274509803922,0.725490196078431,177.128656774469,155.242921980999,252.515344759769,0.648618135935527,0.345634342765193,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423,0.295765110651434,0.25602425692951,0.157307736869591,-0.567680564607258,-0.121533071785123,0.302441323757241,0.693426064760948,0.975960784960403,176.698811281037,154.862112981875,251.075298464435,0.655097568675829,0.348971124450464,0.0114937785413548,17.6609886229345,0.772657203120246,39.8421996767191,0.420434161263341,20.653303684435,500.699126489551,1.60097268779295,2.36592367670017,17.5534694105883,0.915467683990711,0.200312313829388,0.639869990567143,0.00623342675393308,51.5722056948576,0.345734470294761,40.4122900820499,0.281222280478727,20.6806346508004,471.176315094918,1.57306127107539,2.54682906538077,48.4954809463097,1.13655555718878,0.0656825642884805,0.39853595362836,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423
"bspp",187.733124146784,158.661443794698,296.380156052762,0.652017976221647,0.798895884111987,49079,1081,119.661505091946,28.3328079233126,59.506804825858,164.966648343616,0.353369137952457,0.0471297970638388,0.0348847058823529,0.247058823529412,0.27843137254902,0.352941176470588,0.454901960784314,0.482352941176471,184.523196560471,157.949601647588,296.291586065673,0.650021867829074,0.774106727711715,0.120916210082276,0.578844245138928,0.867909304411322,3.19108636895006,0.811684820529927,22.8503340138748,485.71958486824,0.997780761735641,1.18282492427331,0.578844245138928,0.354729130319819,0.427469553859963,0.688714207856527,0.108337364410815,0.919897980342554,0.785110962387595,3.14040229916644,0.765622886233223,22.8535852030025,485.525980685417,0.993020949784053,1.24548296830704,0.919897980342554,0.418710616499087,0.329061841337284,0.622664919887942,0.162594263372945,0.103741101669759,0.0516446885400959,-0.184482006549414,-0.0319123209665845,0.173045814451583,0.305303080378527,0.448130937420761,185.759914374968,156.790974049037,285.863058683615,0.654826127970834,0.779880550871712,0.0506899203505061,3.07485099227063,0.775505885492152,7.84840001042223,0.641345301972325,11.5445274693628,131.09816457398,1.2111148905212,1.63073614700842,3.07485099227063,0.587897584446596,0.266097636901365,0.627989363156172,0.0357387343867824,8.05360179156471,0.408705715621812,7.81014682903119,0.500596942175937,11.591859163107,127.700601791257,1.17487225389489,1.78227897916344,8.05360179156471,0.761055035269301,0.104094162709188,0.421899079786668,0.120916210082276,0.578844245138928,0.867909304411322,3.19108636895006,0.811684820529927,22.8503340138748,485.71958486824,0.997780761735641,1.18282492427331,0.578844245138928,0.354729130319819,0.427469553859963,0.688714207856527,0.108337364410815,0.919897980342554,0.785110962387595,3.14040229916644,0.765622886233223,22.8535852030025,485.525980685417,0.993020949784053,1.24548296830704,0.919897980342554,0.418710616499087,0.329061841337284,0.622664919887942
"iacu",183.083872744801,155.507037598127,252.897881534554,0.649311717933406,0.344200818424872,36305,1384,108.858410275807,17.9864544797188,70.052943495106,158.134121686186,0.603765267572392,0.0600997756819881,0.0406988235294118,0.392156862745098,0.501960784313725,0.607843137254902,0.686274509803922,0.725490196078431,183.128656774469,155.242921980999,252.515344759768,0.648618135935526,0.345634342765192,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423,0.295765110651435,0.25602425692951,0.157307736869587,-0.567680564607258,-0.121533071785123,0.302441323757244,0.69342606476095,0.975960784960406,182.698811281037,154.862112981875,251.075298464435,0.65509756867583,0.348971124450462,0.0114937785413548,17.6609886229345,0.772657203120246,39.8421996767191,0.420434161263341,20.653303684435,500.699126489551,1.60097268779295,2.36592367670017,17.5534694105883,0.915467683990711,0.200312313829388,0.639869990567143,0.00623342675393308,51.5722056948576,0.345734470294761,40.4122900820499,0.281222280478727,20.6806346508004,471.176315094918,1.57306127107539,2.54682906538077,48.4954809463097,1.13655555718878,0.0656825642884805,0.39853595362836,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423
