"rNames.tag","s.area","s.perimeter","s.radius.mean","s.radius.sd","s.radius.min","s.radius.max","h.asm.s1","h.con.s1","h.cor.s1","h.var.s1","h.idm.s1","h.sav.s1","h.sva.s1","h.sen.s1","h.ent.s1","h.dva.s1","h.den.s1","h.f12.s1","h.f13.s1","h.asm.s2","h.con.s2","h.cor.s2","h.var.s2","h.idm.s2","h.sav.s2","h.sva.s2","h.sen.s2","h.ent.s2","h.dva.s2","h.den.s2","h.f12.s2","h.f13.s2","m.cx","m.cy","m.majoraxis","m.eccentricity","m.theta","b.mean","b.sd","b.mad","b.q001","b.q005","b.q05","b.q095","b.q099"
"bspp",18614,510,76.5325417125253,2.48007620343106,71.3528766521431,83.0270075754155,0.100575672651306,0.673294913964172,0.838826190448868,3.08872308670743,0.777648850036714,27.4310626036372,705.466359178376,1.01544673450568,1.23573593480633,0.673294913964172,0.385066123600151,0.366634525945043,0.652528348926016,0.0863227079947602,1.06903754191172,0.73454153702357,3.01356839394979,0.720746542845088,27.4215907217061,704.872733871084,1.00403031509032,1.30443093008985,1.06903754191172,0.453697742058178,0.258642317792611,0.56678292041437,195.360482393609,189.208438092196,158.09986711084,0.352183279553326,-1.09901204942882,0.427354489663062,0.0467982578543253,0.0406988235294118,0.32156862745098,0.356862745098039,0.419607843137255,0.52156862745098,0.545098039215686
"snep",75772,1043,154.963609769964,7.4052201261514,136.604191244942,169.518169420482,0.0495273207104986,1.8111987203738,0.849876602026768,7.03236652256076,0.682477857020935,35.3360843969231,1185.44191906872,1.23148570849326,1.60405558764128,1.8111987203738,0.523566999809964,0.3283088790036,0.683753299282877,0.0398463197516149,3.85976382680632,0.672006844622108,6.88390910529664,0.594745349270459,35.4151177530189,1189.74332505265,1.20886901893135,1.72159497420612,3.85976382680632,0.648083117653174,0.195354080621493,0.557818930302921,195.917466065411,182.743692310452,313.147202200695,0.192950016399302,-0.011630283589555,0.554020782678272,0.0789532203744786,0.0697694117647058,0.313725490196078,0.396078431372549,0.572549019607843,0.647058823529412,0.686274509803922
"bspp",47212,825,122.110638599219,3.44701822546211,114.544493168965,128.44738932507,0.0860243395038064,0.536887651119861,0.912910972769612,4.08240698164853,0.807698091082266,23.8330132206537,529.206517072042,1.0862820973347,1.26549928967776,0.536887651119861,0.349231493117544,0.475055667312348,0.738559578216948,0.0753136857245044,0.863608050346887,0.857739653670218,4.0353084068301,0.761641549827492,23.839014541315,528.988652387793,1.0857504499627,1.33324076761702,0.863608050346887,0.414097240272888,0.384771339455887,0.685687978598586,155.148239333187,146.292857422403,247.283268965059,0.357558594137509,-1.3142140575897,0.369296772339369,0.0559371924616101,0.0523270588235294,0.274509803921569,0.294117647058824,0.36078431372549,0.474509803921569,0.513725490196078
"iacu",24835,1329,95.0962406253382,16.4095230457536,65.8465501222982,135.615260157322,0.0587262874276173,2.17831379853257,0.831098368790743,7.44846880085418,0.681608969563199,37.0040441668296,1303.01034990234,1.23541561473865,1.6105180765583,2.17831379853257,0.537014157800975,0.327811450921294,0.684252926314437,0.0486027152113098,4.6371640407785,0.635203995334661,7.3558317271485,0.597989847440809,37.0445277613952,1304.47412643958,1.2159363353879,1.72383638646018,4.6371640407785,0.659091683017951,0.206097316673688,0.571889182515919,141.386202249182,122.959753003662,194.318410350925,0.393313438704583,-1.08252440615268,0.580894136595649,0.0806486945074144,0.0523270588235294,0.32156862745098,0.415686274509804,0.6,0.690196078431373,0.749019607843137
"bspp",26187,562,90.8828247629761,3.87020813989273,81.8908386375901,98.1679647869867,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242,133.018783860695,126.654375659836,188.923518896592,0.441315437410183,0.244407293352774,0.344686818860129,0.0517578381683433,0.0406988235294118,0.23921568627451,0.262745098039216,0.341176470588235,0.454901960784314,0.486274509803922
"iacu",45403,1781,121.1858445805,18.6261004416315,79.5653368985048,157.510667161937,0.0574422168010846,2.13265431753316,0.770880930261229,5.65403058759942,0.65714737091047,36.5317029492417,1266.99052300269,1.16919377681688,1.57115718096925,2.13265431753316,0.545089048721748,0.255433282616463,0.607426689796802,0.0450953163797358,4.59505089983639,0.503344080755113,5.62599026990529,0.563404656925303,36.5417424104708,1267.1664016366,1.14036543927357,1.68969592459456,4.59505089983639,0.672133222404838,0.124707160125133,0.448648838948451,165.24912726367,187.95559349607,271.244321219571,0.514393444494149,-0.505264469063426,0.573936765861114,0.0688151419274309,0.0465129411764706,0.341176470588235,0.443137254901961,0.584313725490196,0.670588235294118,0.717647058823529
"bspp",26187,562,90.8828247629761,3.87020813989273,81.8908386375901,98.1679647869867,0.0950286914181731,0.720450932215638,0.861519946530368,3.6012805243952,0.776515040627263,22.2915257503493,460.560237807113,1.0576950398593,1.27969497119413,0.720450932215638,0.388895607889565,0.389513667378509,0.679377514842231,0.0821804443498524,1.24094280278026,0.758971669833912,3.57426751852198,0.71954072194475,22.2909175630024,460.135758890824,1.05228221090133,1.35486101697192,1.24094280278026,0.461033786520694,0.285211445768685,0.602340196940242,155.018783860695,150.654375659836,188.923518896592,0.441315437410182,0.244407293352766,0.344686818860129,0.0517578381683433,0.0406988235294118,0.23921568627451,0.262745098039216,0.341176470588235,0.454901960784314,0.486274509803922
"iacu",36305,1384,108.858410275807,17.9864544797188,70.052943495106,158.134121686186,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423,177.128656774469,155.242921980999,252.515344759769,0.648618135935527,0.345634342765193,0.603765267572392,0.0600997756819881,0.0406988235294118,0.392156862745098,0.501960784313725,0.607843137254902,0.686274509803922,0.725490196078431
"bspp",49079,1081,119.661505091946,28.3328079233126,59.506804825858,164.966648343616,0.120916210082276,0.578844245138928,0.867909304411322,3.19108636895006,0.811684820529927,22.8503340138748,485.71958486824,0.997780761735641,1.18282492427331,0.578844245138928,0.354729130319819,0.427469553859963,0.688714207856527,0.108337364410815,0.919897980342554,0.785110962387595,3.14040229916644,0.765622886233223,22.8535852030025,485.525980685417,0.993020949784053,1.24548296830704,0.919897980342554,0.418710616499087,0.329061841337284,0.622664919887942,184.523196560471,157.949601647588,296.291586065673,0.650021867829074,0.774106727711715,0.353369137952457,0.0471297970638388,0.0348847058823529,0.247058823529412,0.27843137254902,0.352941176470588,0.454901960784314,0.482352941176471
"iacu",36305,1384,108.858410275807,17.9864544797188,70.052943495106,158.134121686186,0.0629124113047025,1.83984000783178,0.745136806506338,4.60946589150676,0.667040019501354,38.3902606166132,1402.12772484396,1.11386458258434,1.49704752692086,1.83984000783178,0.526697761642429,0.237068237217188,0.575871593729724,0.049003435536485,4.06338008216461,0.43149921233383,4.57376820782058,0.56660992858739,38.4232044198895,1404.97907714835,1.07688754125703,1.61151200237416,4.06338008216461,0.656382294358803,0.0988499182138309,0.392799036264423,183.128656774469,155.242921980999,252.515344759768,0.648618135935526,0.345634342765192,0.603765267572392,0.0600997756819881,0.0406988235294118,0.392156862745098,0.501960784313725,0.607843137254902,0.686274509803922,0.725490196078431
