"rNames.tag","s.area","s.perimeter","s.radius.sd","s.radius.min","h.asm.s1","h.cor.s1","h.var.s2","h.sen.s2","h.dva.s2","m.eccentricity","m.theta","b.mad","b.q005"
"espp",29979,1215,7.63535444545265,78.1359992680408,0.0195774078797074,0.834332227642776,9.27227845429386,1.31925227865325,5.75448916408669,0.500952477306896,0.354943125759229,0.09884,0.333333333333333
"lmas",71988,2335,30.1180682621029,78.6862013255896,0.0503563458466509,0.740726532574544,4.12497900103276,1.08670801082078,3.00797758880578,0.754974323266733,-0.978325978574326,0.0523270588235294,0.43921568627451
"nlab",24156,1937,19.3816042351372,57.8700747956398,0.0751794339256761,0.791731972311639,4.31491547080946,1.07017559682349,2.73597563666858,0.476981876082819,1.24793671721473,0.0406988235294118,0.450980392156863
"poll",93746,1118,14.8697229516164,139.122646419386,0.0319091594273651,0.757100419228448,6.57938648629543,1.21156566759783,6.31855385874599,0.594700315683316,1.56276362472002,0.0697694117647058,0.462745098039216
"snep",93943,1194,13.2808401579275,148.283288306683,0.0409136378745993,0.879510727256838,7.48617588873652,1.25866314753228,2.99834296351292,0.503764673944397,0.124571940382726,0.0755835294117647,0.313725490196078
"spsp",98215,2989,32.2589624704086,119.35541762394,0.0363408802739855,0.843730168307782,6.40112490895014,1.23591288772844,3.19174957029012,0.462820319547555,0.996675571977686,0.0697694117647059,0.301960784313725
"squa",47512,4638,21.6682603203146,78.0919245222702,0.0129602155629451,0.812014275827244,12.8857533924623,1.39150839344413,11.022710672875,0.481324156044096,1.50880297068148,0.116282352941176,0.392156862745098
"bspp",25197,557,4.50396210836239,80.9870057303262,0.14040635379417,0.852983907110281,2.43065913908069,0.901386755974389,0.667312505045612,0.480207614037065,0.862245962138313,0.0406988235294118,0.345098039215686
"espp",23482,896,9.50249555248245,58.965845768508,0.0235288573680864,0.799329003944957,7.5300454602843,1.26649714862037,5.59901534133369,0.52914246059556,-1.48075534886832,0.0813976470588236,0.282352941176471
"iacu",30816,889,12.4621027317816,73.8095879372433,0.0550091754605377,0.758070048642681,5.67713906488517,1.14506831527957,4.97513674788662,0.634949520076363,0.736082229323114,0.0523270588235294,0.474509803921569
"ipat",77589,1212,12.0235265169072,134.343436613521,0.0552742777578777,0.864776618933712,6.41375871942942,1.20755635967568,3.00917251637483,0.353543381948278,1.46302298490203,0.0581411764705882,0.474509803921569
"iacu",29850,1163,14.6608691853205,71.9066016595213,0.0567611402485111,0.810406880673871,5.49659765804391,1.1539843712219,3.29080714384605,0.63678435957849,0.838340856116252,0.0523270588235294,0.482352941176471
"istr",27682,1797,20.3774119395475,38.1525033984654,0.0403181699541283,0.787556655122579,5.85298924731582,1.18676897866239,4.45173891606933,0.575271261410181,-0.952407113507341,0.0581411764705882,0.447058823529412
"lmas",46228,2178,21.45670097852,78.1623676049609,0.0331260929113849,0.818852061889185,7.28819997275467,1.23989089865847,5.02342629124821,0.679880579424845,-1.18960793183798,0.0639552941176472,0.443137254901961
"poll",55614,990,12.9815974967228,107.853173466681,0.0225579479879859,0.743612817913569,7.77661842561734,1.24858916043856,7.99265228727186,0.600707239842669,-0.0209550603624588,0.0813976470588234,0.423529411764706
"snep",60031,866,9.25674741696553,116.083064175171,0.0343440284832895,0.86017494083683,8.52946604541885,1.29264300838843,5.21773867313916,0.460540780035261,1.36607194103243,0.0813976470588236,0.372549019607843
"spsp",31599,1825,19.3889562984381,63.0612688101378,0.0657224730043928,0.816634309566655,5.64617330394659,1.13583172628963,3.34660219896675,0.626966867813161,0.646489826495173,0.0465129411764706,0.423529411764706
"squa",52195,3608,31.6704760054362,64.7811127370699,0.0124168862259825,0.821802222676116,15.1750203084431,1.43006045312406,13.3349592504522,0.609800052210554,0.412174377403901,0.116282352941176,0.364705882352941
"bspp",31457,595,2.78500436519849,94.7640224780364,0.139355658491796,0.854988968844453,2.95823214449154,0.943155720647222,0.877153920619555,0.390883819751832,0.971922936710721,0.0290705882352942,0.258823529411765
"espp",17452,803,13.9330955974249,48.7988272062897,0.0160682387471468,0.766064289721292,8.87227182300656,1.29595850336559,7.57812777547516,0.787098556588066,-0.0623943726248236,0.09884,0.247058823529412
"iacu",26985,1276,15.3269743034816,67.450663067835,0.0556547602977998,0.837325987328295,5.51749835616424,1.16296206601037,2.92611670638887,0.535742875122156,0.780545075407162,0.0523270588235294,0.474509803921569
"ipat",75391,1490,39.6250120363719,91.0770410722538,0.0412413342294416,0.85426086188321,7.08629223685895,1.23896467883743,3.43699966363942,0.851627973834576,-0.944823431337774,0.063955294117647,0.454901960784314
"ipat",72100,1655,23.9205482654665,88.118560121113,0.0731695866768052,0.837592671780253,5.67439370310226,1.14904710762016,3.19391532896224,0.494590787201977,-0.199229313593206,0.0465129411764706,0.470588235294118
"istr",54445,1348,20.2327392400932,64.7055429581672,0.066452772621484,0.799895184397821,5.46218835618258,1.13617659288466,4.03746090018543,0.567432364005704,-1.19174942832384,0.0465129411764706,0.462745098039216
"lmas",85068,4341,36.0110452748243,81.1773623091349,0.0618429018176773,0.718841661872912,4.20176174078285,1.06177715590561,3.43276767183494,0.695681931962479,1.2082763369727,0.0465129411764706,0.458823529411765
"poll",55636,1048,22.4280461441639,83.2701672520296,0.0336638922383237,0.748628614500559,5.14376240600701,1.15975883906536,4.26962992686085,0.766776812431667,-0.990705612791618,0.0697694117647058,0.435294117647059
"snep",73006,1092,7.36482247957627,127.886421109392,0.0717348547414064,0.88884260825819,4.48481543773102,1.14102758080819,1.32945252945253,0.326709620955315,0.54054961439982,0.0581411764705882,0.431372549019608
"spsp",108715,4383,33.9970334170193,88.6509091603844,0.0589011657976793,0.758017629066328,5.50488485297553,1.13532240556669,4.65897676891383,0.436686584736589,-0.94777731300466,0.0465129411764706,0.462745098039216
"squa",32661,1611,25.0168985173668,54.0367582100794,0.0269647548865931,0.825396982123791,6.99979050435827,1.24585524954394,3.98778932602181,0.843791795932825,-1.17602218302367,0.0872117647058823,0.27843137254902
"bspp",25637,572,6.06292352069373,76.4757740398128,0.106935698021215,0.843979666341069,3.41427751327711,1.03166585570214,1.05203000357185,0.303150409635193,-0.937362461520317,0.0406988235294117,0.290196078431373
"espp",17795,1017,7.70820564773882,57.8056856151911,0.0189635443436983,0.767798108049675,7.90416647271602,1.2694160970647,6.38840886381003,0.407974233904816,-0.201315839685701,0.0930258823529412,0.274509803921569
"iacu",25500,1308,15.7386989520613,60.6733632892635,0.0276084158097914,0.766408721595455,7.29966904446324,1.23622485856053,6.43084954525062,0.429142955274256,-1.28747999564703,0.069769411764706,0.458823529411765
"ipat",81147,1522,27.8838698935528,85.7240052094388,0.0621206755734361,0.795031224643581,4.8438037944435,1.12673508488709,3.56991265610531,0.713488525466708,1.52881689279077,0.0465129411764706,0.486274509803922
"istr",35069,898,16.7997595469747,69.9004942708564,0.0634408660976366,0.835086659027456,4.76825085975863,1.12017154236139,2.45652932960894,0.661291296836933,1.04517072890638,0.0465129411764706,0.572549019607843
"istr",40830,1192,11.4844745245948,81.6726617764306,0.0348698173061864,0.798137581208543,8.34542190561269,1.25221822383895,6.58624492455762,0.356755951658305,0.174086645509728,0.063955294117647,0.403921568627451
"snep",50451,884,10.8390882355146,106.793540621291,0.0556334421976529,0.852961048333278,5.43957823774592,1.17328320835283,2.57050895192114,0.381417712037962,-0.398206614860306,0.0581411764705883,0.333333333333333
"spsp",53983,2166,29.7721575739039,84.3081906406879,0.0617828205458247,0.776084074891294,5.89320959595556,1.12631796055337,5.05760531388979,0.707256411378667,0.416994008996396,0.0465129411764706,0.443137254901961
"squa",24168,2291,18.0717144322476,52.7130750355815,0.0167155970626008,0.797959686657958,10.0271062317908,1.33191930528101,7.93439015627807,0.466925385123515,0.395181288902408,0.104654117647059,0.301960784313725
"bspp",28741,658,6.44705705215843,85.1808277451076,0.128730136441008,0.802730401192948,2.77898172075479,0.947367402481368,1.19301353362148,0.417173949786619,-1.35746718026178,0.0290705882352941,0.317647058823529
"espp",9717,1058,14.6588389902523,1.41448516903634,0.0181056042812143,0.786012725615659,10.1583629432606,1.32404445803769,8.7389440433213,0.662367373172441,-1.45481748108056,0.0872117647058824,0.294117647058824
"iacu",19090,806,9.49382247774313,63.6925250721238,0.0299451550021359,0.817792316973171,9.09850325066163,1.28982152470165,6.35390278228862,0.488787626971694,-0.600548992344445,0.0755835294117646,0.396078431372549
"ipat",105674,1349,28.6144407638599,137.235963243092,0.0329214735606475,0.858679762742067,8.87541505085124,1.30644537241636,4.77529444407237,0.728070456661025,0.0818177331402271,0.0755835294117648,0.407843137254902
"istr",31637,909,13.5873139290796,74.648469729946,0.0470880541425029,0.793786810209024,5.76883744348728,1.16784119368404,3.82962055514362,0.649168073887717,-0.690924647830496,0.0523270588235294,0.470588235294118
"snep",123221,1252,9.32482808388995,170.097229708577,0.0598655030778261,0.886345147917992,5.44483060283774,1.18153063885691,1.81047340717274,0.359154347266004,-0.175165620608501,0.0581411764705883,0.333333333333333
"lmac",39004,1683,21.7009744014728,67.304419224995,0.0265395630935626,0.750790132659679,8.11688007774656,1.24924867387612,8.06094904086296,0.766181338208156,1.31737306924986,0.0755835294117646,0.423529411764706
"spsp",94827,4701,34.5422581523373,92.9425065469561,0.0375074018899358,0.840992285272393,6.95524825254258,1.25090021855743,4.04811019138966,0.550738764943509,-0.530650668117426,0.0697694117647058,0.447058823529412
"bspp",36360,642,13.008133491018,89.8432938717855,0.0848748668742757,0.869224362600415,4.36759169535469,1.07000284120997,1.40942948807365,0.690507770297543,0.0713603684861907,0.0406988235294118,0.219607843137255
"iacu",27640,1162,16.0415752281407,53.1603232100703,0.0357056399791681,0.799053124958805,9.03585594017598,1.2508150802848,7.73220427695529,0.670415621617186,-0.259477335530486,0.0581411764705882,0.419607843137255
"ipat",89225,1799,35.0569353040928,120.518513156432,0.0355651890177983,0.823210387679946,8.52879174785681,1.27678231906482,6.23385224634713,0.813829047985161,-0.729012859612617,0.0697694117647058,0.396078431372549
"istr",31728,1172,21.8342144461692,42.6927311651807,0.0525408443763468,0.785483743391223,5.74969897357071,1.15493849954389,4.44080375952034,0.602964762729784,1.28234314875532,0.0523270588235294,0.466666666666667
"snep",53161,820,6.99921963210673,109.877476325625,0.0463909265561768,0.818172601486754,6.40144821770964,1.19857708753242,4.04576807286308,0.452028813873224,-0.344638918406567,0.063955294117647,0.36078431372549
"spsp",88267,4189,31.4655000565735,99.3098660618924,0.0615388887806777,0.765361336561928,5.31653415174762,1.11928635275948,4.26068536556742,0.600820199289147,0.193382446428744,0.0406988235294118,0.537254901960784
"bspp",59535,879,15.0178683179433,115.606449585385,0.0548762410219854,0.905034925317422,5.80788839123347,1.19499544934531,1.50907545887152,0.663111310198613,-1.0894225161838,0.0755835294117647,0.250980392156863
"iacu",31315,1325,12.8294078591598,70.3146970331802,0.0342765550246376,0.860575728156194,7.84396828152774,1.28311352389756,3.92164043683394,0.239686616610293,0.180908257388565,0.069769411764706,0.419607843137255
"ipat",58789,1630,33.5925504576058,77.1868260994167,0.0375271526954422,0.813592997784388,7.06343803895375,1.23187214771913,5.15547875019539,0.804178857393998,-0.868525874733891,0.063955294117647,0.43921568627451
